Name	Critic_Score	Critic_Count	User_Score	User_Count
NBA Street Vol. 2	9.0		8.8	
Def Jam Vendetta	8.0		8.9	
Kirby Squeak Squad	7.1		8.1	
Burnout Paradise	8.7		7.7	
The Sims 3	7.8		6.4	
FIFA Soccer 09	8.7		8.0	
Dragon Ball Z: Budokai 3	7.7		8.9	
Call of Duty: World at War	8.3		7.6	
Tom Clancy's Ghost Recon	6.3		8.3	
BioShock Infinite	9.3		8.5	
X-Men Legends	7.9		8.5	
Mortal Kombat vs. DC Universe	7.2		7.5	
Destiny: The Taken King	8.6		6.0	
Red Faction	8.8		8.0	
The Sims: Makin' Magic	8.0		8.6	
Mario Party: Island Tour	5.7		6.3	
MX Unleashed	8.0		9.2	
PaRappa The Rapper	9.2		7.4	
Guitar Hero: World Tour	8.4		7.5	
Need for Speed: Shift	8.3		6.5	
Diablo III	8.6		6.4	
LittleBigPlanet 3	7.9		7.1	
Star Wars Rogue Leader: Rogue Squadron II	9.0		8.6	
Mario Super Sluggers	6.9		7.8	
Monopoly	7.0		7.8	
Madden NFL 09	8.5		4.4	
Batman: Arkham Origins	7.4		7.5	
Game Party 2	2.9		4.6	
Mortal Kombat: Deception	8.1		8.5	
NBA 2K17	8.8		6.7	
Toy Story Mania!	4.9		6.6	
Star Fox Adventures	8.2		7.7	
Madden NFL 25	7.6		4.1	
Dynasty Warriors 3	7.8		9.1	
Madden NFL 06	8.6		6.7	
Shrek 2	7.1		8.5	
The Legend of Dragoon	7.4		8.4	
Star Wars: The Force Unleashed	7.1		7.9	
NBA Live 2002	7.0		7.4	
Just Cause 3	7.3		6.5	
Chrono Cross	9.4		8.1	
Jak 3	8.4		8.6	
Kingdom Hearts: Chain of Memories	7.6		7.9	
Max Payne 3	8.7		7.8	
LEGO Marvel Super Heroes	8.2		7.9	
Phineas and Ferb	8.0		4.5	
NCAA Football 06	8.7		8.5	
Rayman Raving Rabbids 2	6.7		8.3	
Kirby: Triple Deluxe	8.0		8.8	
Sonic Classic Collection	7.0		7.5	
inFAMOUS 2	8.3		8.4	
World of Warcraft: Mists of Pandaria	8.2		4.8	
Namco Museum	7.2		6.0	
The Sims: Hot Date	8.5		7.9	
Demon's Souls	8.9		8.9	
The Orange Box	9.6		8.9	
DDRMAX2: Dance Dance Revolution	8.2		8.2	
Virtua Fighter 4	9.4		8.0	
Mafia III	6.8		5.1	
Sly 2: Band of Thieves	8.8		9.0	
Sonic Advance 2	8.3		8.3	
Madden NFL 07	8.0		6.0	
NBA 2K11	8.9		7.6	
Forza Motorsport 6	8.7		7.9	
The Evil Within	7.5		7.3	
Metroid Prime 3: Corruption	9.0		8.9	
Midnight Club II	8.5		8.5	
The Getaway: Black Monday	5.7		7.6	
50 Cent: Bulletproof	4.7		6.6	
Dead or Alive 3	8.7		8.6	
Dragon Quest Monsters: Joker	7.5		7.4	
LEGO Star Wars III: The Clone Wars	7.6		7.7	
UFC 2009 Undisputed	8.4		8.1	
The SpongeBob SquarePants Movie	7.5		9.0	
Golden Sun	9.1		9.3	
Def Jam: Fight for NY	8.3		8.9	
Tom Clancy's Ghost Recon	8.4		6.1	
State of Emergency	7.1		5.7	
The Urbz: Sims in the City	7.0		8.2	
Star Wars: Starfighter	8.4		8.0	
Star Wars: Battlefront	8.0		9.1	
Madden NFL 17	8.2		4.9	
Just Cause 2	8.3		8.0	
FIFA Soccer 08	8.1		7.1	
Crackdown	8.3		8.0	
Wii Party U	6.5		6.8	
Dance Dance Revolution X	5.5		6.2	
Xenosaga Episode I: Der Wille zur Macht	8.3		8.7	
Kinect Star Wars	5.5		3.5	
Dragon's Dogma	7.8		8.3	
