Name	NA_Sales	EU_Sales	JP_Sales	Other_Sales	Global_Sales
Tom Clancy's Splinter Cell	1.4800000000000002	0.8320000000000001	0.0	0.104	2.4160000000000004
FIFA 14	0.488	1.4800000000000002	0.088	0.352	2.408
Killzone 2	1.12	0.8480000000000001	0.064	0.376	2.408
Far Cry 3	1.104	1.056	0.016	0.224	2.4000000000000004
Epic Mickey	1.632	0.504	0.096	0.176	2.4000000000000004
NBA 2K13	2.08	0.16	0.008	0.152	2.4000000000000004
Dragon Ball Z: Budokai Tenkaichi 3	0.92	0.0	0.6080000000000001	0.8720000000000001	2.4000000000000004
The Sims: Livin Large	1.336	0.944	0.0	0.104	2.3920000000000003
World Soccer Winning Eleven 6 International	0.096	1.008	0.928	0.36	2.3920000000000003
Devil May Cry	1.088	0.6880000000000001	0.512	0.104	2.3920000000000003
Star Wars: The Old Republic	1.2640000000000002	0.808	0.0	0.304	2.368
Middle-Earth: Shadow of Mordor	0.808	1.144	0.04	0.376	2.368
Sonic Heroes	0.8320000000000001	1.096	0.048	0.392	2.368
Hitman 2: Silent Assassin	1.088	0.92	0.032	0.328	2.368
Titanfall	1.4720000000000002	0.6400000000000001	0.032	0.216	2.3600000000000003
Battlefield: Bad Company 2	1.064	0.8800000000000001	0.064	0.352	2.3600000000000003
SOCOM II: U.S. Navy SEALs	1.7760000000000002	0.408	0.048	0.12	2.352
Pac-Man Collection	1.656	0.6160000000000001	0.04	0.04	2.352
Street Fighter IV	1.4560000000000002	0.5599999999999999	0.12	0.208	2.352
inFAMOUS	1.408	0.544	0.096	0.296	2.3440000000000003
Kirby Super Star Ultra	1.2400000000000002	0.032	0.952	0.12	2.336
Call of Duty: Ghosts	1.504	0.6160000000000001	0.0	0.216	2.336
Mass Effect	1.4640000000000002	0.6320000000000001	0.024	0.216	2.3280000000000003
Sonic Mega Collection Plus	1.2320000000000002	0.912	0.0	0.176	2.32
World Soccer Winning Eleven 7 International	0.064	0.992	0.904	0.36	2.32
Sega Superstars Tennis	1.4	0.6880000000000001	0.0	0.224	2.3120000000000003
Hot Shots Golf 3	0.792	0.256	1.104	0.16	2.3120000000000003
Cooking Mama: Cook Off	1.128	0.8960000000000001	0.04	0.24	2.3120000000000003
Call of Duty: Finest Hour	1.2080000000000002	0.8960000000000001	0.008	0.192	2.3120000000000003
WarioWare: Smooth Moves	0.6880000000000001	0.8320000000000001	0.584	0.208	2.3120000000000003
Madden NFL 13	2.024	0.12	0.0	0.136	2.288
The Elder Scrolls III: Morrowind	1.672	0.504	0.024	0.088	2.288
Assassin's Creed IV: Black Flag	0.8560000000000001	1.048	0.048	0.336	2.28
Mortal Kombat	1.584	0.424	0.0	0.272	2.272
Madden NFL 10	2.016	0.072	0.0	0.176	2.264
BioShock	1.32	0.68	0.04	0.224	2.264
Metroid Prime	1.568	0.536	0.08	0.072	2.256
Assassin's Creed: Brotherhood	1.4960000000000002	0.44	0.088	0.2319999999999999	2.256
Medal of Honor	1.024	0.8320000000000001	0.056	0.336	2.248
inFAMOUS: Second Son	1.024	0.784	0.056	0.368	2.232
NBA Street	1.752	0.176	0.0	0.304	2.232
Jak II	1.344	0.592	0.0	0.288	2.224
Need for Speed: Hot Pursuit	0.8400000000000001	0.984	0.024	0.376	2.224
Skylanders: Spyro's Adventure	1.08	0.904	0.0	0.24	2.224
Battlefield 3	0.7120000000000001	1.144	0.0	0.368	2.224
Mortal Kombat X	1.2000000000000002	0.6400000000000001	0.0	0.384	2.224
The Sims	1.128	0.8960000000000001	0.0	0.192	2.216
Killzone 3	1.16	0.6880000000000001	0.072	0.304	2.216
Star Wars: The Force Unleashed	1.392	0.6160000000000001	0.0	0.208	2.216
Yoshi's Island DS	1.16	0.056	0.8800000000000001	0.12	2.208
Saints Row: The Third	1.0	0.912	0.056	0.24	2.208
