Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
14,2014.0,0,94,1.816,0.7200000000000001,0.0,0.264,2.8000000000000003,7.2,4.1,2
1,2009.0,0,14,1.688,0.7440000000000001,0.096,0.272,2.8000000000000003,8.3,7.5,2
1,2010.0,0,94,2.28,0.304,0.024,0.192,2.7920000000000003,8.9,8.3,2
2,2013.0,2,26,1.04,1.136,0.216,0.4,2.7920000000000003,8.0,5.8,2
1,2009.0,0,25,1.7600000000000002,0.76,0.016,0.248,2.7840000000000003,9.2,8.7,1
1,2013.0,2,26,1.72,0.808,0.016,0.248,2.7840000000000003,7.9,5.6,2
1,2010.0,2,26,1.6800000000000002,0.808,0.032,0.256,2.776,8.8,8.6,2
4,2008.0,5,3,1.6800000000000002,0.808,0.008,0.2799999999999999,2.768,7.1,8.8,3
4,2006.0,5,60,0.472,1.4320000000000002,0.584,0.272,2.76,8.3,8.4,0
1,2009.0,2,89,1.92,0.568,0.024,0.2319999999999999,2.752,8.4,8.2,2
0,2002.0,7,58,1.2400000000000002,1.016,0.264,0.2319999999999999,2.752,7.9,8.3,1
12,1998.0,0,89,0.904,1.656,0.0,0.176,2.736,7.0,8,1
11,2015.0,0,47,0.8720000000000001,1.088,0.392,0.384,2.728,9.3,8.2,2
0,2004.0,0,3,1.4,0.96,0.016,0.344,2.728,8.0,8.9,1
0,2002.0,1,26,0.368,1.824,0.04,0.488,2.72,8.8,6.7,0
2,2011.0,6,76,1.4640000000000002,0.8400000000000001,0.048,0.368,2.712,9.1,8.4,0
12,2000.0,5,76,1.2480000000000002,1.176,0.152,0.136,2.712,6.8,8.2,0
11,2015.0,0,94,0.6480000000000001,1.592,0.056,0.416,2.712,7.6,6.8,2
1,2008.0,0,100,1.632,0.8160000000000001,0.0,0.256,2.704,7.6,7.9,3
14,2014.0,2,3,1.7120000000000002,0.7360000000000001,0.0,0.248,2.696,7.5,5.5,1
2,2012.0,2,94,0.7040000000000001,1.36,0.08,0.536,2.68,9.0,8.5,2
0,2002.0,2,26,1.16,1.032,0.096,0.368,2.664,7.7,8.5,1
0,2005.0,0,48,1.176,1.112,0.024,0.344,2.656,6.0,7.2,1
4,2009.0,0,60,1.12,0.7280000000000001,0.592,0.208,2.648,8.7,7.8,3
0,2001.0,2,89,1.592,0.8400000000000001,0.04,0.176,2.648,8.0,8.5,2
